hidden_units,activations,optimizer,learning_rate,loss_fn,beta1,beta2,rho,l_1,l_2,batch_size,mse_train,mae_train,mse_test,mae_test,n_training_steps,model_name,training_time,time_started
"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,3200,model_181,108.8,2018-07-10 21:21:58.712324
"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.293587,0.24356797,2.5731466,0.24294285,200,model_182,70.5,2018-07-10 21:23:09.235676
"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.2499762,0.23179983,2.5304828,0.23079278,400,model_183,129.7,2018-07-10 21:25:18.899837
"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.1778257,0.22222184,2.461059,0.22013609,800,model_184,247.2,2018-07-10 21:29:26.089691
"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.0945334,0.21409665,2.383484,0.21279953,1600,model_185,482.7,2018-07-10 21:37:28.813714
"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,200,model_186,17.9,2018-07-10 21:37:46.709318
"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,400,model_187,24.1,2018-07-10 21:38:10.760886
"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,200,model_188,70.6,2018-07-10 21:39:21.394797
"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,400,model_189,129.7,2018-07-10 21:41:31.143800
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3584418,0.26553184,2.6388512,0.26640293,200,model_190,17.8,2018-07-10 21:41:48.920336
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3354573,0.24599208,2.6161792,0.24673651,400,model_191,23.8,2018-07-10 21:42:12.673259
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.306914,0.23758645,2.586423,0.23720378,800,model_192,36.0,2018-07-10 21:42:48.630733
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2654335,0.23066057,2.545461,0.22986253,1600,model_193,60.2,2018-07-10 21:43:48.833069
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,3200,model_194,108.6,2018-07-10 21:45:37.445080
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3573227,0.2651636,2.6377368,0.26604816,200,model_195,70.4,2018-07-10 21:46:47.862958
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3411078,0.25982496,2.6215568,0.26035085,400,model_196,129.5,2018-07-10 21:48:57.344567
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3060703,0.24777013,2.5862193,0.24729246,800,model_197,247.1,2018-07-10 21:53:04.479868
"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.260241,0.23349024,2.540448,0.23276646,1600,model_198,482.4,2018-07-10 22:01:06.849080
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663908,2.7391057,0.20879912,200,model_199,17.8,2018-07-10 22:01:24.641553
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4191563,0.18926406,2.6998103,0.19067308,400,model_200,23.7,2018-07-10 22:01:48.292651
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4138145,0.18698817,2.695567,0.18843193,800,model_201,36.0,2018-07-10 22:02:24.287973
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,1600,model_202,60.1,2018-07-10 22:03:24.397351
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4468489,0.20328826,2.7300825,0.20540255,200,model_203,70.4,2018-07-10 22:04:34.764078
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4217625,0.18986446,2.7038357,0.1914791,400,model_204,129.3,2018-07-10 22:06:44.102074
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,800,model_205,247.1,2018-07-10 22:10:51.162511
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3747687,0.27285275,2.6559875,0.273748,200,model_206,17.8,2018-07-10 22:11:08.983378
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.359089,0.25835267,2.6401048,0.25936186,400,model_207,23.8,2018-07-10 22:11:32.740311
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.336576,0.25083563,2.6170459,0.2512047,800,model_208,35.8,2018-07-10 22:12:08.560037
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3038516,0.24419951,2.5847821,0.24380161,1600,model_209,60.2,2018-07-10 22:13:08.753187
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.26532,0.23434252,2.5453012,0.23382606,3200,model_210,108.6,2018-07-10 22:14:57.305464
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2035222,0.22550209,2.485729,0.22372434,6400,model_211,206.0,2018-07-10 22:18:23.310606
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.1267912,0.21582724,2.4127228,0.21453194,12800,model_212,399.6,2018-07-10 22:25:02.932516
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.374278,0.26869404,2.6556108,0.269606,200,model_213,70.6,2018-07-10 22:26:13.519702
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3553267,0.2637588,2.6362853,0.26447704,400,model_214,129.5,2018-07-10 22:28:23.003757
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3366477,0.25698096,2.617448,0.2574187,800,model_215,247.1,2018-07-10 22:32:30.129176
"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3064735,0.24638699,2.5870872,0.24563788,1600,model_216,482.6,2018-07-10 22:40:32.705854
"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20664008,2.7391057,0.20879991,200,model_217,17.8,2018-07-10 22:40:50.473074
"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663927,2.7391057,0.20880152,400,model_218,23.8,2018-07-10 22:41:14.284204
"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4354844,0.19620888,2.716686,0.19800594,200,model_219,70.4,2018-07-10 22:42:24.666708
"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4416158,0.19803385,2.7214909,0.19980852,400,model_220,129.2,2018-07-10 22:44:33.907385
"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,2.5739062,0.16547301,1.9977264,0.16779779,2,model_0,274.1,2018-07-10 22:49:07.985468
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663926,2.7391057,0.20879921,2,model_1,192.8,2018-07-10 22:52:20.815100
"[500, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,2,model_2,77.3,2018-07-10 22:53:38.135071
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,2.9882255,0.20272149,2.2917411,0.20327544,2,model_3,101.9,2018-07-10 22:55:20.028673
"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,2.8955142,0.20122615,2.1973212,0.20165904,2,model_4,108.9,2018-07-10 22:57:08.895281
"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,2.8844898,0.19820112,2.2183104,0.19967067,2,model_5,142.6,2018-07-10 22:59:31.498203
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,2.9758744,0.20310265,2.273352,0.20361583,2,model_6,218.0,2018-07-10 23:03:09.449346
"[300, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,2.9759984,0.20554042,2.2736769,0.2061154,2,model_7,320.6,2018-07-10 23:08:30.033164
"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,2.9612157,0.20230815,2.2648764,0.20303014,2,model_8,482.4,2018-07-10 23:16:32.387568
"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,2,model_9,76.9,2018-07-10 23:17:49.319676
"[500, 500]","['relu', 'relu']",momentum,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,2,model_0,24.3,2018-07-10 23:18:13.620416
"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663904,2.7391057,0.20879872,2,model_1,44.1,2018-07-10 23:18:57.754286
"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4109602,0.18509205,2.6923718,0.18658672,2,model_2,324.4,2018-07-10 23:24:22.118720
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.405318,0.18310405,2.686862,0.18439156,2,model_3,217.9,2018-07-10 23:28:00.017986
"[300, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4183035,0.18808943,2.699974,0.18955399,2,model_4,320.9,2018-07-10 23:33:20.933218
"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4148245,0.187413,2.695664,0.1888335,2,model_5,27.8,2018-07-10 23:33:48.762834
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.2066395,2.7391057,0.20879976,2,model_6,114.2,2018-07-10 23:35:42.997294
"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,2,model_7,36.1,2018-07-10 23:36:19.072490
"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4161954,0.18773244,2.6975267,0.18930183,2,model_8,167.7,2018-07-10 23:39:06.772684
"[300, 300]","['relu', 'relu']",sgd,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879883,2,model_9,114.8,2018-07-10 23:41:01.537655
